Speaker,Utterance,Utterance_Highlighted
Manar,Yeah man you(.) do you remember like that day we traveled also(.) to: germany.,<span style='color:red'>Yeah</span> man you(.) do you <span style='color:red'>remember</span> like that day we traveled also(.) to: <span style='color:red'>germany</span>.
Manar,yeah.,<span style='color:red'>yeah</span>.
Manar,=I think more! Man.,=I think more! Man.
Manar,"Two and halve years, something like that.","Two and halve years, something like that."
Manar,=Maybe.,=Maybe.
Manar,yeah true↓ ↓  true man.,<span style='color:red'>yeah</span> <span style='color:red'>true</span>↓ ↓  <span style='color:red'>true</span> man.
Manar,But we [did like so mcuh].,But we [did like so mcuh].
Manar,What did you post=?,What did you post=?
Manar,oh yea yea the[ vlog].,oh yea yea the[ vlog].
Manar,=the vlog thing,=the vlog thing
Manar,you are trying to do the youtube one.(.)↓ you didn't do it=,you are trying to do the youtube one.(.)↓ you didn't do it=
Manar,Yeah ↓true,<span style='color:red'>Yeah</span> ↓<span style='color:red'>true</span>
Manar,"[but you].. ↑you have all the recodings, ↓no?","[but you].. ↑you have all the recodings, ↓no?"
Manar,yess=,yess=
Manar,[okay],[okay]
Manar,[But how how is] there is(.)like how is,[But how how is] there is(.)like how is
Manar,the issue with ↓the memory then.,the issue with ↓the memory then.
Manar,[yes],[yes]
Manar,[ohh:],[ohh:]
Manar,okay,okay
Manar,=haah↓:,=haah↓:
Manar,Yeah true↓=,<span style='color:red'>Yeah</span> <span style='color:red'>true</span>↓=
Manar,yes [yes!],yes [yes!]
Manar,yeah,<span style='color:red'>yeah</span>
Manar,[Yeah] I see mann↓,[<span style='color:red'>Yeah</span>] I see mann↓
Manar,[I see],[I see]
Manar,=But the videos were like nice:: I remember some of them=,=But the <span style='color:red'>videos</span> were like <span style='color:red'>nice</span>:: I <span style='color:red'>remember</span> some of them=
Manar,[they have like],[they have like]
Manar,really ↓: really good like especially,<span style='color:red'>really</span> ↓: <span style='color:red'>really</span> good like especially
Manar,when we were coming back: in the evening↓,when we were coming back: in the evening↓
Manar,[we had the music],[we had the music]
Manar,hhhhh,hhhhh
Manar,↑it was really nice ↓ yeah=,↑it was <span style='color:red'>really</span> <span style='color:red'>nice</span> ↓ <span style='color:red'>yeah</span>=
Manar,[so it is good to live it again],[so it is good to live it again]
Manar,=yeah,=<span style='color:red'>yeah</span>
Manar,=yeah man,=<span style='color:red'>yeah</span> man
Manar,it was nice feelings↓  I swear,it was <span style='color:red'>nice</span> <span style='color:red'>feel</span>ings↓  <span style='color:red'>I swear</span>
Manar,I need such.(.)such trip now,I need such.(.)such <span style='color:red'>trip</span> now
Manar,ohh man,ohh man
Manar,go get like you know through all the:: the [headaech],go get like you know through all the:: the [headaech]
Manar,I have.,I have.
Raihan,yeah.,<span style='color:red'>yeah</span>.
Raihan,"Its been what so long,?↑two years now:!=.","Its been what so long,?↑two years now:!=."
Raihan,=More.,=More.
Raihan,yeah=.,<span style='color:red'>yeah</span>=.
Raihan,Even during the dinant trip(.)it felt like so short.,Even during the dinant <span style='color:red'>trip</span>(.)it felt like so short.
Raihan,ah,ah
Raihan,the germany one,the <span style='color:red'>germany</span> one
Raihan,was like almost yesterday,was like almost yesterday
Raihan,yeah,<span style='color:red'>yeah</span>
Raihan,[I posted],[I posted]
Raihan,yea:,yea:
Raihan,=the the.. the post for germany,=the the.. the post for <span style='color:red'>germany</span>
Raihan,the trip.,the <span style='color:red'>trip</span>.
Raihan,[I posted like two years]= .hhh.,[I posted like two years]= .hhh.
Raihan,=The youtube vlog yeah.. I didn't do it,=The youtube vlog <span style='color:red'>yeah</span>.. I didn't do it
Raihan,↑so long,↑so long
Raihan,the thing is the storage(.) the videos take so much storage for vlogs.,the thing is the storage(.) the <span style='color:red'>videos</span> take so much storage for vlogs.
Raihan,Yea was an[ issue].,Yea was an[ issue].
Raihan,↑I have all the recordings.,↑I have all the recordings.
Raihan,I have like..,I have like..
Raihan,you know like I do them in high quality::,you know like I do them in high quality::
